queue_rank,ticker,rm,sector,action,missing_current,ingestable_current,latest_mda,latest_fs_notes,latest_sec_idisc
1,IMPACT,C,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TIF1,C,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,BLAND,C,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,FY-2025,FY-2025,
1,WIN,C,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,FY-2025,FY-2025,
1,CIVIL,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CK,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CNT,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,ITD,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,NL,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,NWR,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PREB,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,STECON,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SYNTEC,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TEKA,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TPOLY,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,UNIQ,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,WGE,G,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,A,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,A5,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,BRI,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,BROCK,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,KC,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,KUN,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,LALIN,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,MK,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,NCH,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,NVD,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PEACE,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PF,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PRECHA,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PRIN,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SAMCO,G,PROP,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,GFPT,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,Q3-2025
1,LEE,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,FY-2025,FY-2025,
1,NER,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,FY-2025,FY-2025,
1,PCE,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,FY-2025,FY-2025,
1,PPPM,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SMO,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,STA,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TEGH,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,FY-2025,FY-2025,
1,TL,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TRUBB,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,FY-2025,
1,UPOIC,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,UVAN,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,VPO,K,AGRI,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,APCS,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,FY-2025,FY-2025,
1,BJCHI,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,FY-2025,FY-2025,
1,BKD,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,DEMCO,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,EMC,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,JR,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PLE,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,PYLON,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,FY-2025,FY-2025,
1,RT,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SEAFCO,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SOLAR,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SQ,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,SRICHA,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,STI,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,FY-2025,FY-2025,
1,STPI,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,FY-2025,FY-2025,
1,TEAMG,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TRC,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,FY-2025,FY-2025,
1,TRITN,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TTCL,K,CONS,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CTARAF,K,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,LUXF,K,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,M-PAT,K,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,QHOP,K,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,TLHPF,K,PF&REIT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,CCP,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,DCC,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
1,DCON,O,CONMAT,fetch_set_news_current_quarter,"MDA, FS notes, auditor",,,,
